R_kpc,vc_total_km_s,vc_baryonic_km_s,vc_halo_km_s,vc_kepler_baryonic_km_s
0.5,95.19630698394253,82.34446490018149,47.767415292056604,792.4228173300519
0.75,113.74602624658284,97.90459084710476,57.90379588549723,647.0105209991034
1,130.4234485611613,112.38170346365492,66.18631777937964,560.3275477010285
1.25,145.75114392547817,126.00062751853835,73.2614347424346,501.1721945301023
1.5,159.69114929913528,138.51551252921357,79.46518705224315,457.5055268975071
1.75,172.14243914491894,149.6931625844593,84.99986135415016,423.5678125587437
2,183.06290353837525,159.41207691092595,89.99897992113867,396.21140866502594
2.25,192.48366113556182,167.6574919087478,94.55646572825131,373.5516984673523
2.5,200.49291330020182,174.49216594532146,98.74154296603146,354.38225729437886
2.75,207.21449339544048,180.02675374888472,102.60708653776058,337.8902246225962
3,212.78928655832877,184.3962564204723,106.19463777478589,323.5052604995517
3.25,217.36156233390275,187.7433514316153,109.53758612211647,310.8138006601619
3.5,221.0700004746401,190.20759950765577,112.66327795423231,299.50767255264014
3.75,224.0424625706832,191.91910931772108,115.59446575605867,289.35190142231005
4,226.39346588246397,192.9953358955988,118.35033467134502,280.16377385051425
4.25,228.22346044014665,193.53994659618644,120.94724869471189,271.79878401348924
4.5,229.6192201460675,193.6429645422317,123.39930528080056,264.14093911001726
4.75,230.6548577141671,193.38163788456944,125.71875562629435,257.0959111274473
5,231.39313507534067,192.82166846565332,127.9163286297591,250.58609726505114
5.25,231.88686139508056,192.0185682206711,130.0014843997744,244.54699060085164
5.5,232.18025540837021,191.0190049581505,131.9826153184354,238.9244691272835
5.75,232.31020533682337,189.86206117721943,133.86720744519482,233.67274057783513
6,232.30739585357924,188.58036922398904,135.66197150128528,228.75276344875354
6.25,232.1972936581082,187.20111038590267,137.37295022104902,224.1310190804114
6.5,232.0009959219203,185.74687963981896,139.00560712731516,219.77854613316433
6.75,231.73595251960353,184.23642534427512,140.56490054964385,215.67017366636776
7,231.41657586321426,182.68527667184148,142.05534580432922,211.78390627937185
7.25,231.05475283442766,181.10627264840278,143.4810677921685,208.1004269205213
7.5,230.6602727395811,179.51000635573914,144.84584577563984,204.60269164493687
7.75,230.24118401263593,177.90519682297716,146.15315172420412,201.27559687753066
8,229.80409093279323,176.29899978418044,147.4061833321284,198.10570433251297
8.25,229.35440012348647,174.69726704981508,148.60789259433673,195.081012142399
8.5,228.89652517570823,173.1047628602255,149.76101065570683,192.19076329419602
8.75,228.4340564485973,171.52534432582002,150.86806951595096,189.42528439244802
9,227.9699019653969,169.9621119387952,151.93142106693108,186.77584923367615
9.25,227.50640434428377,168.4175351698598,152.9532538554632,184.23456280268672
9.5,227.04543787126917,166.89355733335393,153.93560789750646,181.79426217355197
9.75,226.58848912145496,165.39168320227168,154.8803878154465,179.44843147899516
10,226.13672394879552,163.91305226562156,155.78937452618956,177.19112864718943
10.25,225.69104317684483,162.4585000287911,156.6642356718588,175.01692202857396
10.5,225.25212891866576,161.02860934858958,157.5065349553807,172.92083537262508
10.75,224.82048311971198,159.62375345534696,158.31774051889232,170.89829988476237
11,224.39645964141064,158.2441320334454,159.09923248268902,168.9451123112981
11.25,223.98029097543795,156.88980149915,159.85230974558718,167.05739817670076
11.5,223.57211049089463,155.56070042229612,160.57819613346467,165.23157944103215
11.75,223.1719709617664,154.25667087933397,161.27804597087706,163.46434596289325
12,222.77985999435782,152.97747639361842,161.95294914062413,161.75263024977585
12.25,222.39571286902924,151.72281700987307,162.6039356876465,160.0935850574367
12.5,222.01942322355322,150.49234195946423,163.2319800164016,158.48456346601037
12.75,221.65085193350166,149.28566029823295,163.83800472469036,156.92310111560096
13,221.28983448558955,148.10234983644364,164.4228841116202,155.40690033008096
13.25,220.9361870906313,146.94196462870525,164.98744739283282,153.93381589639844
13.5,220.58971174192433,145.80404124868096,165.5324816522069,152.50184229916903
13.75,220.25020039097106,144.68810403752275,166.058734555849,151.10910223775966
14,219.9174383842732,143.5936694850178,166.56691685124045,149.75383627632007
14.25,219.591207281492,142.52024987740114,167.05770467184783,148.4343934969838
14.5,219.27128715573804,141.4673563248288,167.53174166526784,147.14922304331617
14.75,218.9574584604652,140.43450126394345,167.98964096102415,145.89686645550506
15,218.6495035338441,139.42120051621265,168.43198699241935,144.67595071115502
15.25,218.34720780012,138.42697497032972,168.85933718534042,143.48518189618125
15.5,218.0503607179424,137.45135194652693,169.27222352558846,142.32333943947182
15.75,217.75875651768342,136.49386629186068,169.6711540151342,141.18927085291458
16,217.4721947630729,135.55406124810273,170.0566140266633,140.08188692525712
16.25,217.19048076686602,134.63148912759956,170.42906756485948,139.00015732423822
16.5,216.91342588553974,133.72571182715598,170.78895844205493,137.94310656662554
16.75,216.64084771404964,132.83630120550112,171.13671137515595,136.90981032033153
17,216.3725701983361,131.962839346085,171.4727330101006,135.89939200674462
17.25,216.1084236804555,131.10491872371463,171.79741287952922,134.9110196748907
17.5,215.84824488884337,130.26214229078977,172.11112429883244,133.9439031220903
17.75,215.59187688421207,129.43412349655668,172.41422520527524,132.9972912384644
18,215.33916896989953,128.62048625080678,172.70705894448255,132.07046955500863
18.25,215.08997657406027,127.8208648417481,172.98995500819507,131.16275797704589
18.5,214.84416110988462,127.03490381632979,173.26322972686935,130.27350868671866
18.75,214.601589819017,126.26225783006308,173.5271869203909,129.40210419982066
19,214.36213560248328,125.50259147232725,173.7821185098961,128.54795556372366
19.25,214.12567684271193,124.75557907224493,174.02830509344835,127.71050068444897
19.5,213.89209721962013,124.02090448944266,174.26601648809205,126.889202772087
19.75,213.66128552321857,123.29826089334937,174.4955122406014,126.08354889479533
20,213.4331354647506,122.58735053412332,174.71704210905858,125.29304863252557
20.25,213.2075454880123,121.88788450781297,174.93084651722486,124.51723282245077
20.5,212.98441858219087,121.19958251794628,175.137156983518,123.75565238880189
20.75,212.76366209729315,120.52217263538493,175.3361965262667,123.00787725048262
21,212.54518756301994,119.8553910579804,175.52818004678883,122.27349530042582
21.25,212.32891051175318,119.19898187130842,175.71331469172046,121.552111451189
21.5,212.11475030617046,118.55269681153587,175.89180019591902,120.84334674176765
21.75,211.9026299718695,117.91629503128505,176.06382920716558,120.146837501039
22,211.6924760352789,117.28954286919954,176.22958759380143,119.46223456364174
22.25,211.48421836704026,116.67221362377518,176.3892547363533,118.78920253445055
22.5,211.27779003097265,116.06408733190413,176.54300380412667,118.12741909812628
22.75,211.073127138669,115.46495055247962,176.69100201767537,117.4765743705131
23,210.87016870972423,114.87459615532097,176.83341089799592,116.83637028891756
23.25,210.66885653755253,114.2928231156109,176.9703865032327,116.20652003854494
23.5,210.46913506072033,113.71943631397201,177.10207965362858,115.58674751258566
23.75,210.27095123969264,113.1542463422596,177.22863614540523,114.97678680364335
24,210.07425443887314,112.59706931510523,177.35019695421204,114.37638172437677
24.25,209.87899631379784,112.04772668720764,177.46689842873792,113.78528535539284
24.5,209.68513070333543,111.50604507633865,177.57887247504527,113.20325961857883
24.75,209.49261352673398,110.97185609200704,177.68624673214416,112.63007487419871
25,209.3014026853511,110.44499616970185,177.78914473929515,112.0655095402057
25.25,209.11145796889903,109.9253064106203,177.88768609549643,111.509349732337
25.5,208.92274096603623,109.41263242677397,177.98198661158136,110.96138892366373
25.75,208.73521497913396,108.90682419135264,178.07215845532696,110.42142762236459
26,208.54884494305182,108.40773589422098,178.15831028994944,109.88927306658216
26.25,208.36359734775377,107.91522580241525,178.24054740633682,109.36473893530129
26.5,208.17944016460214,107.42915612550193,178.31897184935116,108.8476450742649
26.75,207.99634277616983,106.9493928856603,178.39368253850975,108.33781723601177
27,207.81427590941473,106.47580579234565,178.46477538333733,107.83508683318388
27.25,207.63321157206568,106.00826812139219,178.53234339366412,107.33929070431073
27.5,207.45312299207245,105.54665659841373,178.59647678512718,106.85027089133115
27.75,207.27398455998005,105.09085128636036,178.65726308011924,106.3678744281642
28,207.09577177408897,104.64073547709343,178.71478720441266,105.89195313968592
